GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
eet-client,cz.tomasdvorak.eet.client.timing,TimingReceiveInterceptor,91,0,2,0,13,0,5,0,4,0
eet-client,cz.tomasdvorak.eet.client.timing,TimingSendInterceptor,19,0,0,0,6,0,3,0,3,0
eet-client,cz.tomasdvorak.eet.client,EETClientImpl.new AsyncHandler() {...},53,0,2,0,10,0,3,0,2,0
eet-client,cz.tomasdvorak.eet.client,EETServiceFactory,31,0,0,0,3,0,3,0,3,0
eet-client,cz.tomasdvorak.eet.client,EETClientImpl,178,0,8,0,41,0,11,0,7,0
eet-client,cz.tomasdvorak.eet.client.security.crl,InMemoryCRLStore.new Callable() {...},0,15,0,0,0,2,0,2,0,2
eet-client,cz.tomasdvorak.eet.client.security.crl,InMemoryCRLStore,104,165,6,8,23,34,5,9,1,6
eet-client,cz.tomasdvorak.eet.client.security.crl,CRLUtils,11,117,4,10,3,30,5,9,1,6
eet-client,cz.tomasdvorak.eet.client.exceptions,CommunicationException,23,0,0,0,6,0,4,0,4,0
eet-client,cz.tomasdvorak.eet.client.exceptions,InvalidKeystoreException,4,4,0,0,2,2,1,1,1,1
eet-client,cz.tomasdvorak.eet.client.exceptions,DataSigningException,4,0,0,0,2,0,1,0,1,0
eet-client,cz.tomasdvorak.eet.client.exceptions,InvalidFormatException,4,0,0,0,2,0,1,0,1,0
eet-client,cz.tomasdvorak.eet.client.exceptions,RevocationListException,9,0,0,0,4,0,2,0,2,0
eet-client,cz.tomasdvorak.eet.client.exceptions,CommunicationTimeoutException,5,0,0,0,2,0,1,0,1,0
eet-client,cz.tomasdvorak.eet.client.utils,ExceptionUtils,3,16,0,4,1,5,1,3,1,1
eet-client,cz.tomasdvorak.eet.client.utils,IOUtils,8,10,0,2,4,5,1,3,1,2
eet-client,cz.tomasdvorak.eet.client.utils,CertificateUtils,17,82,3,3,6,13,4,2,1,2
eet-client,cz.tomasdvorak.eet.client.utils,NumberUtils,3,13,0,0,2,3,1,3,1,3
eet-client,cz.tomasdvorak.eet.client.utils,StringJoiner,0,75,0,4,0,17,0,6,0,4
eet-client,cz.tomasdvorak.eet.client.utils,StringUtils,3,50,0,8,2,8,1,9,1,5
eet-client,cz.tomasdvorak.eet.client.utils,DateUtils,9,13,0,0,4,3,1,3,1,3
eet-client,cz.tomasdvorak.eet.client.logging,WebserviceLogging,15,0,0,0,4,0,2,0,2,0
eet-client,cz.tomasdvorak.eet.client.logging,WebserviceLogging.new LoggingInInterceptor() {...},7,0,0,0,3,0,2,0,2,0
eet-client,cz.tomasdvorak.eet.client.logging,WebserviceLogging.new LoggingOutInterceptor() {...},7,0,0,0,3,0,2,0,2,0
eet-client,cz.tomasdvorak.eet.client.binding,BigDecimalAdapter,0,32,0,4,0,9,0,5,0,3
eet-client,cz.tomasdvorak.eet.client.binding,XmlDateAdapter,0,50,0,0,0,6,0,4,0,4
eet-client,cz.tomasdvorak.eet.client.security,ServerKey,39,74,0,4,11,20,1,6,1,4
eet-client,cz.tomasdvorak.eet.client.security,WSS4JEetOutInterceptor,48,0,10,0,12,0,7,0,2,0
eet-client,cz.tomasdvorak.eet.client.security,ClientKey,111,114,2,6,29,32,4,9,2,7
eet-client,cz.tomasdvorak.eet.client.security,MerlinWithCRLDistributionPointsExtension,13,60,2,4,5,18,2,4,0,3
eet-client,cz.tomasdvorak.eet.client.security,SecureEETCommunication,256,0,2,0,64,0,13,0,12,0
eet-client,cz.tomasdvorak.eet.client.security,SecurityCodesGenerator,6,114,0,2,2,24,0,7,0,6
eet-client,cz.tomasdvorak.eet.client.security,SignatureFaultInterceptor,32,0,6,0,9,0,5,0,2,0
eet-client,cz.tomasdvorak.eet.client.security,WSS4JEetInInterceptor,23,0,2,0,8,0,3,0,2,0
eet-client,cz.tomasdvorak.eet.client.security,ClientPasswordCallback,38,9,6,0,7,4,4,1,1,1
eet-client,cz.tomasdvorak.eet.client.config,EndpointType,46,0,0,0,7,0,5,0,5,0
eet-client,cz.tomasdvorak.eet.client.config,CommunicationMode,46,0,0,0,7,0,5,0,5,0
eet-client,cz.tomasdvorak.eet.client.config,SubmissionType,46,0,0,0,7,0,5,0,5,0
eet-client,cz.tomasdvorak.eet.client.dto,WebserviceConfiguration,15,0,0,0,5,0,3,0,3,0
eet-client,cz.tomasdvorak.eet.client.dto,SubmitResult,48,0,2,0,11,0,6,0,5,0
